Simulation time,plant,
176.710000,89606364.352331,
176.720000,89696015.103210,
176.730000,89785755.552171,
176.740000,89875585.788935,
176.750000,89965505.903308,
176.760000,90055515.985186,
176.770000,90145616.124556,
176.780000,90235806.411489,
176.790000,90326086.936150,
176.800000,90416457.788788,
176.810000,90506919.059745,
176.820000,90597470.839449,
176.830000,90688113.218420,
176.840000,90778846.287264,
176.850000,90869670.136680,
176.860000,90960584.857452,
176.870000,91051590.540456,
176.880000,91142687.276659,
176.890000,91233875.157114,
176.900000,91325154.272965,
176.910000,91416524.715448,
176.920000,91507986.575884,
176.930000,91599539.945689,
176.940000,91691184.916366,
176.950000,91782921.579507,
176.960000,91874750.026797,
176.970000,91966670.350010,
176.980000,92058682.641009,
176.990000,92150786.991749,
177.000000,92242983.494273,
177.010000,92335272.240718,
177.020000,92427653.323308,
177.030000,92520126.834359,
177.040000,92612692.866279,
177.050000,92705351.511565,
177.060000,92798102.862804,
177.070000,92890947.012677,
177.080000,92983884.053952,
177.090000,93076914.079491,
177.100000,93170037.182247,
177.110000,93263253.455261,
177.120000,93356562.991669,
177.130000,93449965.884697,
177.140000,93543462.227662,
177.150000,93637052.113971,
177.160000,93730735.637127,
177.170000,93824512.890719,
177.180000,93918383.968431,
177.190000,94012348.964040,
177.200000,94106407.971410,
177.210000,94200561.084502,
177.220000,94294808.397366,
177.230000,94389150.004145,
177.240000,94483585.999074,
177.250000,94578116.476479,
177.260000,94672741.530781,
177.270000,94767461.256490,
177.280000,94862275.748211,
177.290000,94957185.100641,
177.300000,95052189.408568,
177.310000,95147288.766873,
177.320000,95242483.270532,
177.330000,95337773.014612,
177.340000,95433158.094272,
177.350000,95528638.604765,
177.360000,95624214.641437,
177.370000,95719886.299727,
177.380000,95815653.675167,
177.390000,95911516.863381,
177.400000,96007475.960090,
177.410000,96103531.061103,
177.420000,96199682.262327,
177.430000,96295929.659761,
177.440000,96392273.349495,
177.450000,96488713.427717,
177.460000,96585249.990706,
177.470000,96681883.134835,
177.480000,96778612.956572,
177.490000,96875439.552478,
177.500000,96972363.019207,
177.510000,97069383.453509,
177.520000,97166500.952228,
177.530000,97263715.612300,
177.540000,97361027.530759,
177.550000,97458436.804729,
177.560000,97555943.531432,
177.570000,97653547.808184,
177.580000,97751249.732392,
177.590000,97849049.401563,
177.600000,97946946.913296,
177.610000,98044942.365283,
177.620000,98143035.855314,
177.630000,98241227.481273,
177.640000,98339517.341139,
177.650000,98437905.532985,
177.660000,98536392.154980,
177.670000,98634977.305389,
177.680000,98733661.082572,
177.690000,98832443.584982,
177.700000,98931324.911171,
177.710000,99030305.159785,
177.720000,99129384.429564,
177.730000,99228562.819801,
177.740000,99327840.437724,
177.750000,99427217.385672,
177.760000,99526693.763050,
177.770000,99626269.669361,
177.780000,99725945.204209,
177.790000,99825720.467296,
177.800000,99925595.558421,
177.810000,100025570.577485,
177.820000,100125645.624488,
177.830000,100225820.799527,
177.840000,100326096.202802,
177.850000,100426471.934611,
177.860000,100526948.095350,
177.870000,100627524.785516,
177.880000,100728202.105707,
177.890000,100828980.156620,
177.900000,100929859.039052,
177.910000,101030838.853899,
177.920000,101131919.702158,
177.930000,101233101.684927,
177.940000,101334384.903403,
177.950000,101435769.458885,
177.960000,101537255.452771,
177.970000,101638842.986561,
177.980000,101740532.161853,
177.990000,101842323.080349,
178.000000,101944215.843849,
178.010000,102046210.554258,
178.020000,102148307.313576,
178.030000,102250506.223910,
178.040000,102352807.387464,
178.050000,102455210.906546,
178.060000,102557716.883564,
178.070000,102660325.421026,
178.080000,102763036.621546,
178.090000,102865850.587834,
178.100000,102968767.422707,
178.110000,103071787.229079,
178.120000,103174910.109969,
178.130000,103278136.168497,
178.140000,103381465.507885,
178.150000,103484898.231458,
178.160000,103588434.442641,
178.170000,103692074.244964,
178.180000,103795817.742057,
178.190000,103899665.037654,
178.200000,104003616.235590,
178.210000,104107671.439806,
178.220000,104211830.754341,
178.230000,104316094.283340,
178.240000,104420462.131050,
178.250000,104524934.401821,
178.260000,104629511.200107,
178.270000,104734192.630463,
178.280000,104838978.797549,
178.290000,104943869.806127,
178.300000,105048865.761064,
178.310000,105153966.767329,
178.320000,105259172.929996,
178.330000,105364484.354241,
178.340000,105469901.145345,
178.350000,105575423.408692,
178.360000,105681051.249771,
178.370000,105786784.774173,
178.380000,105892624.087596,
178.390000,105998569.295839,
178.400000,106104620.504807,
178.410000,106210777.820510,
178.420000,106317041.349061,
178.430000,106423411.196678,
178.440000,106529887.469683,
178.450000,106636470.274504,
178.460000,106743159.717673,
178.470000,106849955.905826,
178.480000,106956858.945706,
178.490000,107063868.944159,
178.500000,107170986.008137,
178.510000,107278210.244697,
178.520000,107385541.761002,
178.530000,107492980.664319,
178.540000,107600527.062022,
178.550000,107708181.061588,
178.560000,107815942.770603,
178.570000,107923812.296756,
178.580000,108031789.747842,
178.590000,108139875.231765,
178.600000,108248068.856530,
178.610000,108356370.730253,
178.620000,108464780.961151,
178.630000,108573299.657552,
178.640000,108681926.927888,
178.650000,108790662.880696,
178.660000,108899507.624623,
178.670000,109008461.268419,
178.680000,109117523.920944,
178.690000,109226695.691161,
178.700000,109335976.688143,
178.710000,109445367.021068,
178.720000,109554866.799222,
178.730000,109664476.131997,
178.740000,109774195.128894,
178.750000,109884023.899519,
178.760000,109993962.553587,
178.770000,110104011.200919,
178.780000,110214169.951444,
178.790000,110324438.915200,
178.800000,110434818.202331,
178.810000,110545307.923089,
178.820000,110655908.187834,
178.830000,110766619.107034,
178.840000,110877440.791264,
178.850000,110988373.351210,
178.860000,111099416.897662,
178.870000,111210571.541522,
178.880000,111321837.393797,
178.890000,111433214.565606,
178.900000,111544703.168174,
178.910000,111656303.312836,
178.920000,111768015.111033,
178.930000,111879838.674318,
178.940000,111991774.114351,
178.950000,112103821.542903,
178.960000,112215981.071850,
178.970000,112328252.813182,
178.980000,112440636.878994,
178.990000,112553133.381493,
179.000000,112665742.432994,
179.010000,112778464.145922,
179.020000,112891298.632812,
179.030000,113004246.006306,
179.040000,113117306.379160,
179.050000,113230479.864237,
179.060000,113343766.574509,
179.070000,113457166.623061,
179.080000,113570680.123085,
179.090000,113684307.187886,
179.100000,113798047.930876,
179.110000,113911902.465579,
179.120000,114025870.905631,
179.130000,114139953.364775,
179.140000,114254149.956868,
179.150000,114368460.795875,
179.160000,114482885.995873,
179.170000,114597425.671050,
179.180000,114712079.935703,
179.190000,114826848.904243,
179.200000,114941732.691189,
179.210000,115056731.411174,
179.220000,115171845.178941,
179.230000,115287074.109342,
179.240000,115402418.317345,
179.250000,115517877.918026,
179.260000,115633453.026573,
179.270000,115749143.758288,
179.280000,115864950.228581,
179.290000,115980872.553236,
179.300000,116096910.856964,
179.310000,116213065.260248,
179.320000,116329335.879275,
179.330000,116445722.830349,
179.340000,116562226.229887,
179.350000,116678846.194424,
179.360000,116795582.840610,
179.370000,116912436.285209,
179.380000,117029406.645105,
179.390000,117146494.037296,
179.400000,117263698.578895,
179.410000,117381020.387134,
179.420000,117498459.579360,
179.430000,117616016.273036,
179.440000,117733690.585744,
179.450000,117851482.635180,
179.460000,117969392.539158,
179.470000,118087420.415610,
179.480000,118205566.382584,
179.490000,118323830.558245,
179.500000,118442213.060876,
179.510000,118560714.008876,
179.520000,118679333.520763,
179.530000,118798071.715171,
179.540000,118916928.710855,
179.550000,119035904.626683,
179.560000,119154999.581644,
179.570000,119274213.694845,
179.580000,119393547.085510,
179.590000,119512999.872980,
179.600000,119632572.176717,
179.610000,119752264.116300,
179.620000,119872075.811427,
179.630000,119992007.381913,
179.640000,120112058.947693,
179.650000,120232230.628821,
179.660000,120352522.545469,
179.670000,120472934.817928,
179.680000,120593467.566609,
179.690000,120714120.912041,
179.700000,120834894.974873,
179.710000,120955789.875873,
179.720000,121076805.735929,
179.730000,121197942.676048,
179.740000,121319200.817357,
179.750000,121440580.281102,
179.760000,121562081.188650,
179.770000,121683703.661487,
179.780000,121805447.821219,
179.790000,121927313.789574,
179.800000,122049301.688397,
179.810000,122171411.639656,
179.820000,122293643.765440,
179.830000,122415998.187955,
179.840000,122538475.029531,
179.850000,122661074.412617,
179.860000,122783796.459784,
179.870000,122906641.293724,
179.880000,123029609.037248,
179.890000,123152699.813290,
179.900000,123275913.744905,
179.910000,123399250.955270,
179.920000,123522711.567682,
179.930000,123646295.705559,
179.940000,123770003.492444,
179.950000,123893835.051998,
179.960000,124017790.508006,
179.970000,124141869.984375,
179.980000,124266073.605132,
179.990000,124390401.494429,
180.000000,124514853.776537,
180.010000,124639430.575853,
180.020000,124764132.016894,
180.030000,124888958.224300,
180.040000,125013909.322834,
180.050000,125138985.437381,
180.060000,125264186.692950,
180.070000,125389513.214672,
180.080000,125514965.127801,
180.090000,125640542.557715,
180.100000,125766245.629915,
180.110000,125892074.470024,
180.120000,126018029.203791,
180.130000,126144109.957086,
180.140000,126270316.855904,
180.150000,126396650.026363,
180.160000,126523109.594707,
180.170000,126649695.687300,
180.180000,126776408.430633,
180.190000,126903247.951321,
180.200000,127030214.376102,
180.210000,127157307.831839,
180.220000,127284528.445520,
180.230000,127411876.344257,
180.240000,127539351.655285,
180.250000,127666954.505967,
180.260000,127794685.023789,
180.270000,127922543.336361,
180.280000,128050529.571420,
180.290000,128178643.856827,
180.300000,128306886.320569,
180.310000,128435257.090756,
180.320000,128563756.295628,
180.330000,128692384.063545,
180.340000,128821140.522998,
180.350000,128950025.802599,
180.360000,129079040.031089,
180.370000,129208183.337334,
180.380000,129337455.850325,
180.390000,129466857.699182,
180.400000,129596389.013147,
180.410000,129726049.921592,
180.420000,129855840.554014,
180.430000,129985761.040036,
180.440000,130115811.509408,
180.450000,130245992.092008,
180.460000,130376302.917839,
180.470000,130506744.117032,
180.480000,130637315.819845,
180.490000,130768018.156662,
180.500000,130898851.257995,
180.510000,131029815.254485,
180.520000,131160910.276897,
180.530000,131292136.456126,
180.540000,131423493.923194,
180.550000,131554982.809251,
180.560000,131686603.245574,
180.570000,131818355.363568,
180.580000,131950239.294768,
180.590000,132082255.170834,
180.600000,132214403.123556,
180.610000,132346683.284853,
180.620000,132479095.786772,
180.630000,132611640.761486,
180.640000,132744318.341300,
180.650000,132877128.658647,
180.660000,133010071.846086,
180.670000,133143148.036310,
180.680000,133276357.362136,
180.690000,133409699.956513,
180.700000,133543175.952518,
180.710000,133676785.483359,
180.720000,133810528.682371,
180.730000,133944405.683021,
180.740000,134078416.618903,
180.750000,134212561.623742,
180.760000,134346840.831394,
180.770000,134481254.375844,
180.780000,134615802.391206,
180.790000,134750485.011724,
180.800000,134885302.371775,
180.810000,135020254.605864,
180.820000,135155341.848626,
180.830000,135290564.234828,
180.840000,135425921.899367,
180.850000,135561414.977368,
180.860000,135697043.613648,
180.870000,135832807.950156,
